"BUSINESS_NAME","CASE_NUMBER","DBA","LOCATION","NEIGHBORHOOD_NAME","POLICE_DISTRICT_WHEN_LAST_UPDATED","STATUS_CODE","WARD"
"MCCLELLAND ELOISE","17-0049","","2900  UNION BLVD","Kingsway West","5","OPEN","1"
"HSC HOSPITALITY INC","17-0050","","2017  CHOUTEAU AV","Downtown West","3","ACTIVE","6"
"HARI KISHAN LLC","17-0051","","4105  CHOUTEAU AV","Forest Park Southeast","2","CLOSED","17"
"C & R CARNICERIA INC                    ","17-0052","","2800  CHEROKEE ST","Gravois Park","3","ACTIVE","20"
"MERLI LLC","17-0053","","3234  MORGAN FORD RD","Tower Grove South","2","ACTIVE","10"
"RAYS COFFEE SHOP INC","17-0054","","4755  MORGAN FORD RD","Bevo Mill","1","ACTIVE","14"
"MAMA CAMPISI S RESTAURANTE INC","17-0055","","2132  EDWARDS ST","The Hill","2","ACTIVE","10"
"NESIMOVIC LLC","17-0056","","4601  GRAVOIS AV","Bevo Mill","1","CLOSED","14"
"DRUNKEN FISH INC THE","17-0057","DRUNKEN FISH THE","612 N 2ND ST","Downtown","4","ACTIVE","7"
"GATEWAY PETROL INC                      ","17-0058","","3140  OLIVE ST","Midtown","4","ACTIVE","6"
"KUNJ INC","17-0059","ONE STOP MINI MART","3106  DELMAR BLVD","Midtown","4","OPEN","19"
"1317 WASHINGTON AV LLC","17-0060","","1317  WASHINGTON AV","Downtown West","4","CLOSED","6"
"TNT PARTNERSHIP LLC","17-0061","","730  CARROLL ST","Soulard","3","ACTIVE","7"
"NOVELLA LLC","17-0062","","5510 S KINGSHIGHWAY BLVD","Princeton Heights","1","ACTIVE","13"
"VIVA INC","17-0063","CLUB VIVA","408 N EUCLID AV","Central West End","5","ACTIVE","28"
"B & F ENTERPRISES OF ST LOUIS LLC","17-0064","GREAT GRIZZLY BEAR","1027  GEYER AV","Soulard","3","CLOSED","7"
"P & BI LLC","17-0065","","44  MARYLAND PLAZA","Central West End","5","CLOSED","28"
"SCHMIDT WORKS LLC","17-0066","","1535 S 8TH ST","Soulard","3","CLOSED","7"
"NICK & MAGGIES LLC","17-0067","","7201  PICCADILLY AV","Ellendale","2","CLOSED","24"
"MIZU SUSHI, LLC                         ","17-0068","","1013  WASHINGTON AV","Downtown","4","ACTIVE","7"
"DL ENTERPRISES LLC","17-0069","","1001  MCCAUSLAND AV","Hi-Point","2","ACTIVE","24"
"ROGADO SPIRITS INC","17-0070","","3153  MORGAN FORD RD","Tower Grove South","2","CLOSED","10"
"STELLINA PASTA CAFE, INC.","17-0071","","3342  WATSON RD","Lindenwood Park","2","CLOSED","23"
"BIG DADDYS ON THE LANDING LLC","17-0072","BIG DADDYS ON THE LANDING","118  MORGAN ST","Downtown","4","ACTIVE","7"
"CAFE VENTANA LLC                        ","17-0073","","3919  WEST PINE BLVD","Central West End","5","ACTIVE","17"
"KAY & KAY INVESTMENTS LLC","17-0074","","4944  CHRISTY BLVD","Bevo Mill","1","ACTIVE","14"
"K & J 513 LLC                           ","17-0075","","5838  SOUTHWEST AV","Southwest Garden","2","ACTIVE","10"
"GEORGE & DARA LLC","17-0076","DBS SPORTS BAR","1615 S BROADWAY","Kosciusko","3","ACTIVE","7"
"MARTIN L KING ENTERTAINMENT VENUE LLC","17-0077","","5960  DR MARTIN LUTHER KING DR","Hamilton Heights","5","CLOSED","22"
"MANCHESTER CATERING COMPANY             ","17-0078","","7146  MANCHESTER AV","Ellendale","2","ACTIVE","24"
"H J W INCORPORATED                      ","17-0079","","5532 W FLORISSANT AV","Walnut Park East","6","ACTIVE","27"
"TNA FOOD STORE INC","17-0080","","5350  CHIPPEWA ST","South Hampton","1","CLOSED","14"
"OG ENTERPRISES LLC","17-0081","","5452  GRAVOIS AV","Bevo Mill","1","ACTIVE","13"
"CROWN MART OF MO INC","17-0082","CROWN MART OF MO INC","4604  DR MARTIN LUTHER KING DR","Lewis Place","5","CLOSED","4"
"PREMIUM LOUNGE INC","17-0083","","4199  MANCHESTER AV","Forest Park Southeast","2","CLOSED","17"
"HOTEL RESTAURANT LLC                    ","17-0084","","6177  DELMAR BLVD","West End","5","ACTIVE","28"
"JD'S CORNER INC                         ","17-0085","","4701  MICHIGAN AV","Mount Pleasant","1","ACTIVE","25"
"GATEWAY IRISH PUB LLC                   ","17-0086","","333  WASHINGTON AV","Downtown","4","ACTIVE","7"
"JEFFERSON AVENUE BISTRO LLC","17-0087","","3701 S JEFFERSON AV","Gravois Park","3","CLOSED","20"
"MARYLAND PLAZA RESTAURANT LLC","17-0088","","48  MARYLAND PLAZA","Central West End","5","CLOSED","28"
"ERNEY'S, LLC","17-0089","","4200 MANCHESTER AVE","Forest Park Southeast","2","CLOSED","17"
"WALDORF LOUNGE INC                      ","17-0090","","3963  DELMAR BLVD","Vandeventer","5","ACTIVE","18"
"STRAY DOG THEATRE                       ","17-0091","","2336  TENNESSEE AV","Tower Grove East","3","ACTIVE","6"
"BRENNANS INC","17-0092","BRENNANS","314 - 316 N EUCLID AVE","","5","OPEN",""
"GRAMOPHONE LLC THE","17-0093","GRAMOPHONE THE","4243  MANCHESTER AV","Forest Park Southeast","2","ACTIVE","17"
"DJS MINI MART LLC","17-0094","","1403  UNION BLVD","Hamilton Heights","5","ACTIVE","26"
"SHOT HEAVEN INC                         ","17-0095","","5229  GRAVOIS AV","Bevo Mill","1","ACTIVE","14"
"DJ & ME INC","17-0096","","232 N KINGSHIGHWAY BLVD","Central West End","5","CLOSED","28"
"LASAK LLC","17-0097","","401 N JEFFERSON DR","Forest Park","2","OPEN","28"
"BALL PARK PARTNERS LLC","17-0098","PADDY OS","614 S 7TH ST","Downtown","4","ACTIVE","7"
"DIVERSITY GALLERY LLC                   ","17-0100","","6150  DELMAR BLVD","Skinker / DeBaliviere","5","ACTIVE","28"
"KINGS FOOD PHILLIPS TWO INC             ","17-0101","","5588  DR MARTIN LUTHER KING DR","Hamilton Heights","5","ACTIVE","22"
"BASIL SPICE LLC                         ","17-0102","","3183 S GRAND BLVD","Tower Grove South","2","ACTIVE","15"
"EAGL MIDWEST BEVERAGE LLC               ","17-0103","","5163  CLAYTON RD","Forest Park","2","ACTIVE","28"
"EAGL MIDWEST BEVERAGE LLC               ","17-0104","","6141  LAGOON DR","Forest Park","2","ACTIVE","28"
"SANDRINAS STL LLC","17-0105","","5098  ARSENAL ST","Southwest Garden","2","CLOSED","10"
"ZOE 3 LLC","17-0106","","278 N SKINKER BLVD","Skinker / DeBaliviere","5","CLOSED","28"
"WESTERN ADDITION LLC                    ","17-0107","","6144  DELMAR BLVD","Skinker / DeBaliviere","5","ACTIVE","28"
"URZI'S MARKET INC                       ","17-0108","","5426  MAGNOLIA AV","Southwest Garden","2","ACTIVE","10"
"NISBET ENTERPRISES LLC","17-0109","","2900  VIRGINIA AV","Tower Grove East","3","ACTIVE","6"
"OHM GAYATRI INC","17-0110","","1820  MARKET ST","Downtown West","4","CLOSED","6"
"JTOH INC                                ","17-0111","","2524  HAMPTON AV","The Hill","2","ACTIVE","10"
"MOTO GRILLE INVESTORS LLC               ","17-0112","","3419  OLIVE ST","Covenant Blu / Grand Center","4","ACTIVE","19"
"NARA CAFE LLC                           ","17-0113","","1326  WASHINGTON AV","Downtown West","4","ACTIVE","6"
"ARIS GREEK AMERICAN RESTAURANT LLC","17-0114","ARIS RESTAURANT & BAR","3101  HAMPTON AV","Lindenwood Park","2","ACTIVE","24"
"TBA CEDARS INCORPORATED                 ","17-0115","","939  LEBANON DR","La Salle","3","ACTIVE","7"
"RYAN THOMAS LLC                         ","17-0116","","5932 W FLORISSANT AV","Walnut Park West","6","ACTIVE","27"
"BILLS NEW PROJECT LLC","17-0117","BAR 101 SOULARD","1722 S BROADWAY","Kosciusko","3","ACTIVE","7"
"KAMPAI INC","17-0118","","4949  WEST PINE BLVD","Central West End","5","ACTIVE","17"
"C & S PROPERTIES","17-0119","DS PLACE","900 BARTON ST","","3","ACTIVE",""
"MERRITT BEVERAGE LLC                    ","17-0120","","811  SPRUCE ST","Downtown","4","ACTIVE","7"
"ARENA CLUB LLC","17-0121","","5656  OAKLAND AV","Cheltenham","2","CLOSED","17"
"CROWN MART 6 INC","17-0122","","1513 N 13TH ST","","","OPEN",""
"CROWN MART 6 INC","17-0123","","1515 N 13TH ST","St. Louis Place","4","ACTIVE","5"
"VISTA LLC                               ","17-0124","","315  CHESTNUT ST","Downtown","4","ACTIVE","7"
"DAJ RESTAURANT","17-0125","","405 N EUCLID AV","Central West End","5","CLOSED","28"
"URBAN SANCTUARY LLC","17-0126","","911  WASHINGTON AV","Downtown","4","CLOSED","7"
"ELG PALLADIUM GROUP LLC                 ","17-0127","","1400  PARK PL","Peabody, Darst, Webbe","3","ACTIVE","7"
"ELG PALLADIUM GROUP LLC","17-0128","","1414  PARK AV","Peabody, Darst, Webbe","3","OPEN","7"
"ELG PALLADIUM GROUP LLC","17-0129","","4262  MAGNOLIA AV","Tower Grove Park","2","CLOSED","8"
"BLUEBIRD HOLDINGS CMV LLC","17-0130","FIREBIRD THE","2706  OLIVE ST","Midtown","4","CLOSED","6"
"THAXTON SPEAKEASY INC","17-0131","SPEAKEASY AT THE THAXTON","1009  OLIVE ST","Downtown","4","ACTIVE","7"
"GIOS LLC","17-0132","","701  MARKET ST","Downtown","4","CLOSED","7"
"NEO ON LOCUST LLC                       ","17-0133","","2801  LOCUST ST","Midtown","4","ACTIVE","19"
"HI POINTE THEATER LLC","17-0134","","1005  MCCAUSLAND AV","Hi-Point","2","ACTIVE","24"
"MS CONVENIENCE STORE                    ","17-0135","","4948  CHRISTY AV","Bevo Mill","1","ACTIVE","14"
"GOOSED LLC","17-0136","","3196 S GRAND BLVD","Tower Grove East","3","CLOSED","8"
"A-Z LACLEDE MARKET LLC                  ","17-0137","","4569  LACLEDE AV","Central West End","5","ACTIVE","17"
"CAFE MOCHI LLC                          ","17-0138","","3221 S GRAND BLVD","Tower Grove South","2","ACTIVE","15"
"ERNESTOS LLC","17-0139","","2730  MCNAIR AV","Benton Park","3","ACTIVE","9"
"KWENCH LLC                              ","17-0140","","4112  MANCHESTER AV","Forest Park Southeast","2","ACTIVE","17"
"TERRACE OPERATIVES LLC","17-0141","","400 N EUCLID AV","Central West End","5","ACTIVE","28"
"AGAVE STL LLC","17-0142","","4196  MANCHESTER AV","Forest Park Southeast","2","CLOSED","17"
"AMIGO JOES MEXICAN REST & CANTINA LLC","17-0143","AMIGO JOES MEXICAN RESTAURANT & CANTINA","5901  SOUTHWEST AV","Southwest Garden","2","ACTIVE","10"
"EURO INC","17-0144","","710 N 15TH ST","Downtown West","4","ACTIVE","5"
"RENDEZVOUS ROOM, THE","17-0145","","521 S VANDEVENTER AV","Forest Park Southeast","2","CLOSED","17"
"CHARLIE G LLC","17-0146","HAVEN THE","6625  MORGAN FORD RD","Boulevard Heights","1","ACTIVE","12"
"LUNA LOUNGE","17-0147","","4561  GRAVOIS AV","Bevo Mill","1","CLOSED","14"
"MAGIC CHEF MANSION","17-0148","","3400  RUSSELL BLVD","Compton Heights","3","CLOSED","6"
"VOOK 8 LLC                              ","17-0149","","3150  GUSTINE AV","Tower Grove South","2","ACTIVE","15"
"LIBRARY ANNEX LLC THE","17-0150","LIBRARY ANNEX THE","3693  FOREST PARK AV","Midtown","4","CLOSED","17"
"SOPHIE'S PLACE, LLC","17-0151","","2815  WATSON RD","Clifton Heights","2","CLOSED","24"
"IRON BARLEY LLC","17-0152","","5510  VIRGINIA AV","Carondelet","1","CLOSED","25"
"HAMPTON RESTAURANT CORPORATION          ","17-0153","","1115  HAMPTON AV","Clayton / Tamm","2","ACTIVE","24"
"ELEVEN FOURTEEN OLIVE LLC               ","17-0154","","1114  OLIVE ST","Downtown","4","ACTIVE","7"
"ABJI INC                                ","17-0155","","7701 S BROADWAY ","Patch","1","ACTIVE","11"
"SOUTH TOWN PUB & GRILL LLC","17-0156","SOUTH TOWN PUB","3707 S KINGSHIGHWAY BLVD","North Hampton","2","CLOSED","10"
"TESSON & BROADWAY NEIGHBORHOOD CAFE LLC ","17-0157","","7926 S BROADWAY ","Patch","1","ACTIVE","11"
"WASABI SUSHI BAR ONE LLC","17-0158","","1228  WASHINGTON AV","Downtown West","4","CLOSED","5"
"FARMHAUS LLC                            ","17-0159","","3257  IVANHOE AV","Lindenwood Park","2","ACTIVE","23"
"TIN CUP ENTERPRISES LLC THE","17-0160","TIN CUP","518  BATES ST","Carondelet","1","CLOSED","11"
"KUKIC LLC","17-0161","","4457  GRAVOIS AV","Bevo Mill","1","OPEN","14"
"SASHA'S ON SHAW LLC","17-0162","","4065  SHAW AV","Shaw","2","ACTIVE","17"
"#9 COFFEE SHOP LLC","17-0163","NO 9 COFFEE SHOP","4631  MORGAN FORD RD","Bevo Mill","1","ACTIVE","14"
"CAFE BAR SKALA LLC","17-0164","","5051  GRAVOIS AV","Bevo Mill","1","CLOSED","14"
"HILI GROUP LLC THE","17-0165","BBC ASIAN CAFE & BAR","241 N EUCLID AV","Central West End","5","ACTIVE","28"
"CY LLC","17-0166","CHAVAS","925  GEYER AV","Soulard","3","ACTIVE","7"
"ALEJANDRE ENTERPRISES INC               ","17-0167","","3112  CHEROKEE ST","Gravois Park","3","ACTIVE","20"
"ARBER CAFE LLC","17-0168","","6955  GRAVOIS AV","Princeton Heights","1","CLOSED","12"
"WALGREEN CO                             ","17-0169","","1530  LAFAYETTE AV","Peabody, Darst, Webbe","3","ACTIVE","7"
"WALGREEN CO","17-0170","WALGREENS 7296","3720 N KINGSHIGHWAY BLVD","Penrose","6","OPEN","1"
"WALGREEN CO","17-0171","WALGREENS 6166","3822 S KINGSHIGHWAY BLVD","Tower Grove South","2","ACTIVE","14"
"WALGREEN CO                             ","17-0172","","3920  HAMPTON AV","North Hampton","2","ACTIVE","23"
"WALGREEN CO","17-0173","","7339  GRAVOIS AV","","2","ACTIVE","12"
"LEVY PREMIUM FOOD SERVICE LP            ","17-0174","","1401  CLARK AV","Downtown West","4","ACTIVE","7"
"FUBAR INC","17-0175","","3040  LOCUST ST","Midtown","4","OPEN","19"
"MARTIN & BAYLEY INC                     ","17-0176","","3443  WATSON RD","Lindenwood Park","2","ACTIVE","23"
"FKG OIL COMPANY                         ","17-0177","","11005  RIVERVIEW DR","Riverview","6","ACTIVE","2"
"PATTY LONGS CATERING INC","17-0178","","112  SIDNEY ST","Kosciusko","3","CLOSED","9"
"PATTY LONGS CATERING INC","17-0179","","1808 S 9TH ST","Soulard","3","CLOSED","7"
"INTERNET WINES & SPIRITS CO             ","17-0180","","1910 S JEFFERSON AV","McKinley Heights","3","ACTIVE","7"
"JIM BOMMARITO","17-0181","","4617  BECK AV","Tower Grove South","2","CLOSED","14"
"RMPG MORGANFORD MANAGEMENT LLC","17-0182","","3175  MORGAN FORD RD","Tower Grove South","2","ACTIVE","10"
"SHOP N SAVE ST LOUIS INC","17-0183","","3865  GRAVOIS AV","Tower Grove South","2","CLOSED","15"
"SHOP N SAVE ST LOUIS INC","17-0184","","4660  CHIPPEWA ST","Bevo Mill","1","CLOSED","14"
"SHOP N SAVE ST LOUIS INC","17-0185","SHOP N SAVE","7057  CHIPPEWA ST","Lindenwood Park","2","CLOSED","16"
"NBOL, LLC","17-0186","","710 N 2ND ST","Downtown","4","CLOSED","7"
"THOMAS MICHAEL KIMACK                   ","17-0187","","3155  MERAMEC ST","Dutchtown","3","ACTIVE","25"
"ALDI                                    ","17-0188","","6601  GRAVOIS AV","Princeton Heights","1","ACTIVE","12"
"PLATO CAFE LLC","17-0189","","5912  HAMPTON AV","Princeton Heights","1","CLOSED","16"
"ANHEUSER BUSCH LLC","17-0190","ANHEUSER BUSCH","1  BUSCH PL","Soulard","3","ACTIVE","9"
"ANHEUSER BUSCH LLC","17-0191","ANHEUSER BUSCH TOUR CENTER","1127  PESTALOZZI ST","Soulard","3","ACTIVE","9"
"CONCORDIA GYMNASTIC SOCIETY","17-0192","","6432  GRAVOIS AV","Boulevard Heights","1","ACTIVE","12"
"ENGINEERS CLUB OF ST LOUIS INC","17-0193","","4359  LINDELL BLVD","Central West End","5","ACTIVE","18"
"SPANISH SOCIETY INC                     ","17-0194","","7107  MICHIGAN AV","Carondelet","1","ACTIVE","11"
"JAMES C STOCKER EDUC & REDEV BLDG CORP  ","17-0195","","1600 S BROADWAY ","Kosciusko","3","ACTIVE","7"
"POLISH FALCONS GYMNASTIC ASSOC NO 45","17-0196","","2013  ST LOUIS AV","St. Louis Place","4","CLOSED","5"
"RACQUET CLUB INC THE","17-0197","RACQUET CLUB","476 N KINGSHIGHWAY BLVD","Central West End","5","ACTIVE","28"
"SAINT LOUIS WOMANS CLUB THE","17-0198","SAINT LOUIS WOMANS CLUB","4600  LINDELL BLVD","Central West End","5","ACTIVE","17"
"SOUTH BROADWAY ATHLETIC CLUB            ","17-0199","","2301 S 7TH ST","Soulard","3","ACTIVE","7"
"MAJOR BRANDS INC","17-0200","","6701  SOUTHWEST AV","Ellendale","2","CLOSED","24"
"WILLIAM A STRAUB INC                    ","17-0201","","302 N KINGSHIGHWAY BLVD","Central West End","5","ACTIVE","28"
"MIDWEST PETROLEUM COMPANY               ","17-0202","","1314  GRAVOIS AV","Soulard","3","ACTIVE","7"
"MIDWEST PETROLEUM COMPANY               ","17-0203","","1655 S JEFFERSON AV","The Gate District","3","ACTIVE","6"
"MIDWEST PETROLEUM COMPANY               ","17-0204","","3311  MORGAN FORD RD","Tower Grove South","2","ACTIVE","10"
"EPIPHANY CHURCH BOWLING ALLEY           ","17-0205","","3164  IVANHOE AV","Lindenwood Park","2","ACTIVE","23"
"RESURRECTION OF OUR LORD CATHOLIC CHURCH","17-0206","","3880  MERAMEC ST","Dutchtown","1","CLOSED","25"
"ST AGATHA'S ROMAN CATHOLIC CHURCH","17-0207","","3227 S 9TH ST","Soulard","3","CLOSED","9"
"ST ANTHONYS PARISH","17-0208","","3133  MERAMEC ST","Dutchtown","3","ACTIVE","25"
"SAINT JAMES PARISH                      ","17-0209","","1360  TAMM AV","Clayton / Tamm","2","ACTIVE","24"
"ST JOAN OF ARC CATHOLIC CHURCH","17-0210","","5821  PERNOD AV","North Hampton","2","ACTIVE","23"
"ST JOHN THE BAPTIST CHURCH              ","17-0211","","4200  DELOR ST","Bevo Mill","1","ACTIVE","14"
"ST JOHN NEPOMUK CHURCH","17-0212","","1625 S 11TH ST","La Salle","3","CLOSED","7"
"ST JOSEPH CROATIAN CHURCH","17-0213","","2112 S 12TH ST","Soulard","3","ACTIVE","7"
"SAINT PIUS THE FIFTH RECTORY","17-0214","","3310 S GRAND BLVD","Tower Grove East","3","ACTIVE","15"
"ST STEPHENS PROTOMARTYR CHURCH","17-0215","ST STEPHENS PROTOMARTYR CHURCH","3949  WILMINGTON AV","Holly Hills","1","ACTIVE","13"
"BREWERS & MALSTERS BENEVOLENT ASSOC     ","17-0216","","3650  WISCONSIN AV","Marine Villa","3","ACTIVE","20"
"ST LOUIS UNIVERSITY","17-0217","","3437  CAROLINE ST","","","CLOSED",""
"MUNICIPAL THEATRE ASSOCIATION OF ST LOUIS","17-0218","","1 THEATER DR","Forest Park","2","ACTIVE","28"
"ST LOUIS UNIVERSITY HIGH SCHOOL         ","17-0219","","4970  OAKLAND AV","Kings Oak","2","ACTIVE","17"
"ST LOUIS SYMPHONY ORCHESTRA             ","17-0220","","718 N GRAND BLVD","Covenant Blu / Grand Center","4","ACTIVE","19"
"MOST WORSHIPFUL PRINCE HALL GRAND LODGE ","17-0221","","4525  OLIVE ST","Central West End","5","ACTIVE","18"
"IMMACULATE HEART OF MARY CHURCH         ","17-0222","","4092  BLOW ST","Boulevard Heights","1","ACTIVE","12"
"ST MARYS HIGH SCHOOL","17-0223","","4701 S GRAND BLVD","Dutchtown","1","ACTIVE","25"
"HOLY TRINITY SERBIAN EAST ORTH CHURCH","17-0224","","1910  SERBIAN DR","McKinley Heights","3","ACTIVE","7"
"CHRIST IN THE CITY LUTHERAN CHURCH","17-0225","","3500  CAROLINE ST","The Gate District","3","CLOSED","19"
"SCHNUCK MARKETS INC","17-0226","","60  HAMPTON VILLAGE PLAZA","South Hampton","2","ACTIVE","16"
"SCHNUCK MARKETS INC","17-0227","SCHNUCKS # 301","315 N 9TH ST","Downtown","4","ACTIVE","7"
"SCHNUCK MARKETS INC","17-0228","","1020  LOUGHBOROUGH AV","Carondelet","1","ACTIVE","11"
"SCHNUCK MARKETS INC","17-0229","","3430 S GRAND BLVD","Tower Grove East","3","ACTIVE","15"
"SCHNUCK MARKETS INC","17-0230","","3431  UNION BLVD","Wells / Goodfellow","5","ACTIVE","22"
"SCHNUCK MARKETS INC","17-0231","","4171  LINDELL BLVD","Central West End","5","ACTIVE","18"
"SCHNUCK MARKETS INC","17-0232","","5055  ARSENAL ST","Southwest Garden","2","ACTIVE","8"
"SCHNUCK MARKETS INC","17-0233","","7450  HAMPTON AV","Princeton Heights","1","ACTIVE","12"
"LUXCO INC","17-0234","","5050  KEMPER AV","Southwest Garden","2","ACTIVE","10"
"TONYS INC","17-0235","","10 S BROADWAY","Downtown","4","ACTIVE","7"
"CHURCH OF OUR LADY OF SORROWS","17-0236","","5841 S KINGSHIGHWAY BLVD","Princeton Heights","1","OPEN","13"
"GLOBE CUT RATE DRUGS INC","17-0237","","1900 S BROADWAY","Kosciusko","3","ACTIVE","7"
"JOHN VIVIANO & SONS GROCERY CO.         ","17-0238","","5139  SHAW AV","The Hill","2","ACTIVE","10"
"J PARKER ENTERPRISES LTD                ","17-0239","","4650  SHAW AV","Southwest Garden","2","ACTIVE","8"
"LOHR DISTRIBUTING CO.INC.               ","17-0240","","1100 S 9TH ST","La Salle","3","ACTIVE","7"
"BARLOG KUSZAJ ZERO MEMORIAL POST #422   ","17-0241","","2601 S 11TH ST","Soulard","3","ACTIVE","9"
"CUNETTOS HOUSE OF PASTA INC","17-0242","CUNETTOS HOUSE OF PASTA","5453  MAGNOLIA AV","Southwest Garden","2","ACTIVE","10"
"BOILERMAKERS LODGE #27                  ","17-0243","","1547 S BROADWAY ","Kosciusko","3","ACTIVE","7"
